dx1,dy1,dx2,dy2,dx3,dy3,dx4,dy4,dx5,dy5,dx6,dy6,dx7,dy7,dx8,dy8,dx9,dy9,dx10,dy10,Distance,Username
-64,-253,-99,-397,-248,-259,-350,6,-380,220,-85,232,251,344,388,97,324,-183,5,-298,3560.865743,Zack
-307,-78,-113,40,-45,74,-24,218,49,167,149,168,292,68,298,-94,113,-364,-91,-167,2324.753242,Zack
-779,460,-263,146,-118,-254,162,-244,361,111,387,370,492,75,479,-594,382,183,-85,407,4791.640052,Zack
-745,339,732,34,476,-766,-62,-548,-378,-6,-873,105,-382,326,137,-118,1417,-393,124,10,6539.875062,Zack
-436,705,577,-562,-743,549,-226,36,7,-5,-172,198,4,-25,-219,-908,-369,264,503,1325,5888.274383,Zack
-217,16,34,13,0,0,15,14,144,218,12,23,6,-192,1,-1,53,-85,-167,330,1225.244054,Zack
14,-3,1,0,0,-1,0,0,0,0,0,0,-220,-178,-154,12,1758,314,-365,1119,3416.621965,Zack
-486,599,0,0,43,-12,-14,22,-100,183,74,-202,0,0,358,936,-70,-534,-303,607,3484.867739,Zack
906,-1528,80,12,-655,853,126,-712,549,-119,-295,63,-148,249,37,848,-286,-665,34,-95,6482.499077,Zack
703,-46,80,-76,8,-13,3,190,-479,208,-545,-98,0,0,-4,12,-43,-54,-12,43,2222.409981,Zack
2,333,-12,202,-2,40,101,418,65,-3,25,4,-69,-251,-6,13,23,50,33,-161,1589.841055,Zack
-343,375,550,-497,117,0,28,19,-233,335,-73,-354,160,2,0,0,-1330,835,-323,-37,4225.357854,Zack
1278,-680,-8,-19,22,-11,254,-25,-8,2,19,79,-56,-4,-27,291,-314,975,59,-45,3284.496164,Zack
-88,-11,1,-8,-179,-628,-307,-479,-19,-35,-178,-21,-260,24,-363,165,205,743,391,-626,3706.440424,Zack
-389,-467,581,702,60,142,0,-19,108,36,47,-18,0,0,117,-386,122,156,153,73,2627.266964,Zack
35,-361,39,353,-159,539,225,218,-152,149,-546,-41,-10,1,-112,36,173,-12,3,-27,2681.752776,Zack
349,-706,0,0,0,0,6,-14,134,-215,-181,-554,-147,25,0,0,46,-77,0,0,1877.745282,Zack
-42,-9,-1107,214,713,403,0,0,-3,770,122,164,-98,-77,-889,-260,100,-626,0,0,4648.674874,Zack
702,-399,617,-114,141,21,17,6,-7,19,-1177,1366,426,-375,212,71,-1160,-844,191,282,5985.133502,Zack
623,-118,-220,40,0,0,-1308,303,214,-958,-45,559,518,-17,346,348,200,60,280,96,5256.558299,Zack
395,156,201,18,60,-84,-137,-227,-228,-117,31,-88,21,-92,22,-90,-28,-70,16,-147,1754.703968,Zack
-653,-125,-281,33,-142,74,-110,406,57,151,323,820,296,-68,-125,40,37,2,18,-144,3188.401541,Zack
-892,241,42,223,5,441,-2,-8,889,-252,240,-193,0,0,0,0,42,-36,1253,-784,4365.559131,Zack
-721,1592,-184,-39,153,9,-54,3,-20,1,-450,-1324,-73,34,17,660,-12,94,-705,-58,5104.393887,Zack
0,0,0,0,67,-26,990,-691,-42,-34,378,36,34,57,131,213,101,-15,74,59,2226.097949,Zack
-1733,171,820,-443,213,486,211,19,150,-108,-432,-186,-366,95,787,503,323,-107,-843,-147,6579.208052,Zack
-18,-9,-95,96,-48,357,1168,126,989,210,-630,-693,-1407,334,26,-495,0,0,241,-349,6003.691923,Zack
682,-80,811,20,87,1,43,-14,18,63,113,-69,60,-1,-69,33,0,0,-210,605,2604.975592,Zack
-1264,-172,-795,-27,21,64,568,-244,646,-172,-37,498,71,332,116,44,4,0,416,-294,4901.508849,Zack
-733,-122,-341,209,617,38,508,120,-273,277,215,-427,-590,-99,-653,-66,451,-202,0,-1,4899.924282,Zack
0,0,0,0,0,0,0,0,54,-11,10,-1,843,-1072,8,1599,0,-1599,0,0,4626.935814,Gunt
-2133,-331,0,331,0,-808,658,-791,1901,1599,0,0,-1,0,-1280,0,-1278,0,0,0,9369.503994,Gunt
996,-158,213,45,255,156,155,12,-19,15,-28,-1,275,-261,509,-1306,163,1599,0,-1599,6719.886768,Gunt
-176,1084,-2383,0,0,-815,109,-784,2338,0,112,1599,0,0,0,-1599,0,1599,-1103,-128,13337.05562,Gunt
0,-1478,2559,0,0,71,0,1528,0,-161,-389,-1154,-2128,1315,-42,-61,0,-1538,0,0,11128.38219,Gunt
332,1599,0,0,0,0,0,0,-846,-376,-1713,-1223,0,0,2559,0,0,169,0,1430,8821.675307,Gunt
-941,0,-1618,-1518,0,-81,0,0,2559,0,0,1599,0,0,0,0,-716,0,-1843,-1300,10369.97404,Gunt
2559,0,-178,0,178,1599,0,0,-28,0,-2531,0,0,-1599,0,0,0,0,2559,0,11062.87694,Gunt
0,0,-995,0,-1564,-781,0,-818,0,0,2557,0,2,0,0,1599,0,0,0,0,7719.158174,Gunt
-1261,-1512,0,0,2559,0,0,1599,0,0,0,-1559,-2501,1559,-58,-1599,0,0,0,0,12232.989,Gunt
90,1599,0,-1063,0,1063,-498,0,-2061,-450,0,-1149,0,0,2559,0,0,1599,0,0,11642.08552,Gunt
-203,-11,-2356,11,0,-615,0,-984,102,0,227,381,2230,1218,0,-1599,0,1599,-2471,-74,12914.87819,Gunt
